13867	"PTB_WSJ"	"Wright"	"aide"	15	18	12405		
13379	"PTB_WSJ"	"his"	"pilots"	26	28	23052		
13380	"PTB_WSJ"	"his"	"players"	27	28	23388		
13381	"PTB_WSJ"	"his"	"quarterback"	6	7	23329		
13382	"PTB_WSJ"	"his"	"salespeople"	12	13	36087		
13383	"PTB_WSJ"	"his"	"secretaries"	22	23	914		
13384	"PTB_WSJ"	"his"	"secretary"	2	3	23112		
							
13364	"PTB_WSJ"	"his"	"investigator"	19	20	23136		
13365	"PTB_WSJ"	"his"	"lawyers"	17	18	996		
13366	"PTB_WSJ"	"his"	"lawyers"	2	3	11372		
13367	"PTB_WSJ"	"his"	"lawyers"	15	16	24166		
13368	"PTB_WSJ"	"his"	"lawyers"	12	13	34607		
							
13609	"PTB_WSJ"	"Marcos"	"attorney"	2	4	1448		
13610	"PTB_WSJ"	"Marcos"	"attorneys"	24	26	1444		
13611	"PTB_WSJ"	"Marcos"	"attorneys"	2	4	8214		
							
13697	"PTB_WSJ"	"plaintiff"	"lawyer"	9	11	15101		
13698	"PTB_WSJ"	"plaintiffs"	"lawyer"	6	9	8235		
13699	"PTB_WSJ"	"plaintiffs"	"lawyers"	11	13	15007		
13700	"PTB_WSJ"	"plaintiffs"	"lawyers"	9	11	29895		
13701	"PTB_WSJ"	"Plaintiffs"	"lawyers"	1	3	35293		
							
13706	"PTB_WSJ"	"president"	"doctor"	3	5	29567		
							
13735	"PTB_WSJ"	"senator"	"spokesman"	13	15	5291		
13736	"PTB_WSJ"	"senator"	"spokesman"	2	4	36752		
							
13793	"PTB_WSJ"	"their"	"representatives"	11	12	33		
13794	"PTB_WSJ"	"their"	"representatives"	14	17	30120		
							
13101	"PTB_WSJ"	"Antar"	"attorneys"	21	23	11363		
13102	"PTB_WSJ"	"Antar"	"attorneys"	5	7	11365		
13103	"PTB_WSJ"	"Antar"	"lawyers"	8	10	11364		
							
13240	"PTB_WSJ"	"family"	"spokesman"	7	10	10271		
13241	"PTB_WSJ"	"father"	"maid"	7	9	36334		
							
13308	"PTB_WSJ"	"her"	"chancellor"	5	7	7685		
13313	"PTB_WSJ"	"her"	"lawyer"	19	20	12446		
13314	"PTB_WSJ"	"her"	"lawyer"	22	23	12450		
13315	"PTB_WSJ"	"her"	"lawyer"	16	17	23632		
							
13332	"PTB_WSJ"	"his"	"attorney"	18	19	2726		
13333	"PTB_WSJ"	"his"	"attorney"	28	29	4752		
13334	"PTB_WSJ"	"his"	"attorney"	5	6	4758		
13335	"PTB_WSJ"	"his"	"attorney"	9	10	27780		
13336	"PTB_WSJ"	"His"	"attorneys"	1	2	14992		
							
13339	"PTB_WSJ"	"his"	"broker"	3	5	20101		
13340	"PTB_WSJ"	"his"	"broker"	8	9	20107		
13341	"PTB_WSJ"	"his"	"broker"	21	22	20116		
13342	"PTB_WSJ"	"his"	"broker"	11	12	37623		
13343	"PTB_WSJ"	"his"	"brokers"	30	31	1405		
							
13405	"PTB_WSJ"	"Hunt"	"attorney"	5	7	1094		
							
13743	"PTB_WSJ"	"Smith"	"managers"	2	4	23002		
							
13742	"PTB_WSJ"	"Skinner"	"deputy"	8	10	31588		
							
13617	"PTB_WSJ"	"men"	"attorney"	7	9	29725		
13618	"PTB_WSJ"	"men"	"attorneys"	22	24	29723		
							
13654	"PTB_WSJ"	"Noriega"	"representative"	18	20	36441		
							
13722	"PTB_WSJ"	"Sala"	"attorney"	5	7	26604		
13720	"PTB_WSJ"	"Roderick"	"man"	5	8	16295		
							
13120	"PTB_WSJ"	"Beebes"	"lawyer"	5	7	35296		
							
13090	"PTB_WSJ"	"Ahmad"	"lawyer"	2	4	35321		

